,master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
18686,9167b7d4-ad50-11e9-a2fc-000d3a38a36f,1293 days,5.0,497.91,1,4,3,14,at_risk
18687,0d28697c-d6cd-11e9-93bc-000d3a38a36f,636 days,4.0,381.49,3,4,2,34,loyal_customers
18688,5b4b0850-542f-11ea-b1db-000d3a38a36f,483 days,7.0,590.41,4,5,3,45,loyal_customers
18689,6cdcfddc-43e8-11ea-8b43-000d3a38a36f,602 days,2.0,382.98,3,2,2,32,about_to_sleep
18690,7cd0dcc4-aae4-11e9-a2fc-000d3a38a36f,1391 days,4.0,1189.9,1,4,5,14,at_risk
18691,debdf09c-9540-11ea-85df-000d3a38a36f,64 days,2.0,365.96000000000004,5,2,2,52,potential_loyalists
18692,bbc236ae-9f35-11e9-9897-000d3a38a36f,917 days,24.0,4798.63,2,5,5,25,cant_loose
18693,24037cae-9491-11ea-85df-000d3a38a36f,385 days,2.0,296.94,5,2,1,52,potential_loyalists
18694,017c09ec-9d90-11e9-9897-000d3a38a36f,374 days,4.0,1500.23,5,4,5,54,champions
18695,5f2a2640-563c-11ea-b9b9-000d3a38a36f,539 days,4.0,390.7,4,4,2,44,loyal_customers
18696,6100b9aa-b152-11e9-9757-000d3a38a36f,719 days,4.0,348.96,3,4,2,34,loyal_customers
18697,9e8e8fac-a8ad-11e9-a2fc-000d3a38a36f,2003 days,4.0,630.5899999999999,1,4,3,14,at_risk
18698,eda78652-b0af-11e9-9757-000d3a38a36f,769 days,3.0,500.37,2,3,3,23,at_risk
18699,743ec16e-ede9-11e9-88c1-000d3a38a36f,597 days,2.0,284.96999999999997,4,2,1,42,potential_loyalists
18700,9fa00f18-5be7-11ea-9818-000d3a38a36f,508 days,3.0,197.96,4,3,1,43,potential_loyalists
18701,a41c373e-e3b3-11ea-b769-000d3a38a36f,281 days,3.0,240.70999999999998,5,3,1,53,potential_loyalists
18702,5c40d5e0-1b4b-11ea-9812-000d3a38a36f,547 days,2.0,200.98,4,2,1,42,potential_loyalists
18703,fe0a7dbc-4fee-11eb-806e-000d3a38a36f,143 days,2.0,149.98,5,2,1,52,potential_loyalists
18704,05c53862-398e-11ea-85d6-000d3a38a36f,630 days,4.0,425.96000000000004,3,4,2,34,loyal_customers
18705,3f764398-9ead-11e9-9897-000d3a38a36f,645 days,2.0,305.86,3,2,2,32,about_to_sleep
18706,60a9234e-b1e2-11e9-89fa-000d3a38a36f,678 days,6.0,611.9300000000001,3,4,3,34,loyal_customers
18707,74ab0944-5f2d-11eb-8dbd-000d3a38a36f,124 days,2.0,317.62,5,2,2,52,potential_loyalists
18708,86126572-b0b2-11e9-9757-000d3a38a36f,769 days,5.0,388.82000000000005,2,4,2,24,at_risk
18709,c0ee1922-5ba0-11ea-a012-000d3a38a36f,508 days,3.0,359.97,4,3,2,43,potential_loyalists
18710,c14608d6-a7d6-11e9-a2fc-000d3a38a36f,2331 days,5.0,823.33,1,4,4,14,at_risk
18711,f6ed23fa-a0a7-11ea-9d0a-000d3a38a36f,366 days,2.0,249.96,5,2,1,52,potential_loyalists
18712,a5317354-306d-11ea-bb28-000d3a38a36f,671 days,7.0,360.93,3,5,2,35,loyal_customers
18713,b94e4bb0-6a59-11eb-b5d7-000d3a38a36f,105 days,2.0,172.95999999999998,5,2,1,52,potential_loyalists
18714,e0cce662-a483-11e9-a2fc-000d3a38a36f,755 days,2.0,123.97999999999999,2,2,1,22,hibernating
18715,68c0d64e-a96d-11e9-a2fc-000d3a38a36f,1641 days,2.0,260.48,1,2,1,12,hibernating
18716,cf59d858-94d9-11ea-85df-000d3a38a36f,370 days,3.0,223.97,5,3,1,53,potential_loyalists
18717,1307586a-a3df-11e9-a2fc-000d3a38a36f,783 days,2.0,67.98,2,2,1,22,hibernating
18718,726ef60e-aaf7-11e9-a2fc-000d3a38a36f,946 days,4.0,286.96,2,4,1,24,at_risk
18719,88c40c7c-b07a-11e9-9757-000d3a38a36f,652 days,7.0,642.3,3,5,3,35,loyal_customers
18720,dc5fc14e-c55c-11ea-9dde-000d3a38a36f,566 days,5.0,955.8700000000001,4,4,4,44,loyal_customers
18721,3d53959e-b17b-11e9-89fa-000d3a38a36f,691 days,2.0,342.75,3,2,2,32,about_to_sleep
18722,9a28700e-aaab-11e9-a2fc-000d3a38a36f,1219 days,18.0,2248.71,1,5,5,15,cant_loose
18723,afdeab80-adf7-11e9-a2fc-000d3a38a36f,1200 days,7.0,1223.51,1,5,5,15,cant_loose
18724,d619717a-4f2a-11ea-99ba-000d3a38a36f,543 days,5.0,430.45000000000005,4,4,2,44,loyal_customers
18725,cbf62d74-2648-11ea-8e1c-000d3a38a36f,672 days,3.0,519.97,3,3,3,33,need_attention
18726,fd1f5892-24f1-11ea-bf27-000d3a38a36f,583 days,2.0,309.98,4,2,2,42,potential_loyalists
18727,781e9584-9e2f-11e9-9897-000d3a38a36f,1545 days,10.0,617.89,1,5,3,15,cant_loose
18728,685891b6-72ed-11ea-92d0-000d3a38a36f,488 days,6.0,1682.75,4,4,5,44,loyal_customers
18729,48a8352c-b184-11e9-89fa-000d3a38a36f,645 days,6.0,792.1600000000001,3,4,4,34,loyal_customers
18730,9288e6a6-2b7c-11ea-9d27-000d3a38a36f,546 days,4.0,824.79,4,4,4,44,loyal_customers
18731,4178115a-a9b4-11e9-a2fc-000d3a38a36f,1903 days,12.0,1675.3400000000001,1,5,5,15,cant_loose
18732,51b642b4-d7a7-11e9-93bc-000d3a38a36f,622 days,5.0,695.66,3,4,4,34,loyal_customers
18733,0151bbee-a7de-11e9-a2fc-000d3a38a36f,2326 days,18.0,2649.02,1,5,5,15,cant_loose
18734,8fd9dd3c-99fb-11ea-a274-000d3a38a36f,375 days,4.0,806.7,5,4,4,54,champions
18735,fc9a4c9e-2986-11ea-b87a-000d3a38a36f,808 days,2.0,107.97999999999999,2,2,1,22,hibernating
18736,7a28df5a-b1a4-11e9-89fa-000d3a38a36f,683 days,3.0,180.95999999999998,3,3,1,33,need_attention
18737,483025ec-5417-11ea-b1db-000d3a38a36f,518 days,4.0,755.96,4,4,4,44,loyal_customers
18738,61c73266-a147-11ea-afff-000d3a38a36f,364 days,9.0,1552.97,5,5,5,55,champions
18739,6bf622c8-f180-11e9-9346-000d3a38a36f,597 days,14.0,4564.37,4,5,5,45,loyal_customers
18740,b9022322-a91a-11e9-a2fc-000d3a38a36f,1724 days,25.0,2167.49,1,5,5,15,cant_loose
18741,59ae4048-b155-11e9-9757-000d3a38a36f,649 days,2.0,274.96999999999997,3,2,1,32,about_to_sleep
18742,273ca7cc-a948-11e9-a2fc-000d3a38a36f,1673 days,2.0,391.72,1,2,2,12,hibernating
18743,76c6d196-2642-11eb-8a9b-000d3a38a36f,197 days,4.0,408.39,5,4,2,54,champions
18744,47e8f4cc-6db4-11ea-84a8-000d3a38a36f,431 days,4.0,394.39,5,4,2,54,champions
18745,ab02ce80-2a6f-11ea-b3a7-000d3a38a36f,781 days,3.0,485.95,2,3,3,23,at_risk
18746,07780746-adae-11e9-a2fc-000d3a38a36f,687 days,7.0,1044.6599999999999,3,5,5,35,loyal_customers
18747,9452416a-9d6c-11e9-9897-000d3a38a36f,676 days,3.0,329.95,3,3,2,33,need_attention
18748,0d29afe8-d660-11e9-93bc-000d3a38a36f,646 days,15.0,1697.38,3,5,5,35,loyal_customers
18749,ab91826c-b100-11e9-9757-000d3a38a36f,926 days,5.0,712.9300000000001,2,4,4,24,at_risk
18750,80bcfd1c-372a-11eb-a48e-000d3a38a36f,798 days,6.0,1118.37,2,4,5,24,at_risk
18751,fdb00b0c-5b25-11ea-a7af-000d3a38a36f,630 days,5.0,684.8,3,4,4,34,loyal_customers
18752,95c5fbd8-30b3-11ea-a6ce-000d3a38a36f,684 days,6.0,1143.13,3,4,5,34,loyal_customers
18753,1a8bf45e-9f5e-11e9-a2fc-000d3a38a36f,529 days,3.0,527.03,4,3,3,43,potential_loyalists
18754,b78331c0-ad3f-11e9-a2fc-000d3a38a36f,616 days,3.0,557.97,3,3,3,33,need_attention
18755,fcc81bba-203a-11ea-87bf-000d3a38a36f,602 days,3.0,498.83000000000004,3,3,3,33,need_attention
18756,cb79bbac-b1dd-11e9-89fa-000d3a38a36f,638 days,3.0,306.74,3,3,2,33,need_attention
18757,d97bdc84-a25c-11e9-a2fc-000d3a38a36f,811 days,3.0,970.8699999999999,2,3,4,23,at_risk
18758,09328192-5bdc-11ea-8d1a-000d3a38a36f,514 days,4.0,460.25,4,4,3,44,loyal_customers
18759,e4656baa-a799-11e9-a2fc-000d3a38a36f,2252 days,5.0,595.9399999999999,1,4,3,14,at_risk
18760,848ab17c-c683-11ea-9bc9-000d3a38a36f,318 days,3.0,663.96,5,3,4,53,potential_loyalists
18761,4b7eaf2a-b0e3-11e9-9757-000d3a38a36f,2398 days,27.0,3069.6499999999996,1,5,5,15,cant_loose
18762,94c0413a-acd3-11e9-a2fc-000d3a38a36f,1129 days,3.0,245.45999999999998,1,3,1,13,at_risk
18763,3a06b0ba-5bd5-11ea-b5e5-000d3a38a36f,463 days,5.0,635.11,5,4,3,54,champions
18764,7b8e2532-ad24-11e9-a2fc-000d3a38a36f,1313 days,7.0,612.13,1,5,3,15,cant_loose
18765,1878aaf6-a173-11e9-a2fc-000d3a38a36f,827 days,4.0,819.9200000000001,2,4,4,24,at_risk
18766,999a40fc-fd0e-11ea-a657-000d3a38a36f,243 days,5.0,365.95,5,4,2,54,champions
18767,fc0ce7a4-9d87-11e9-9897-000d3a38a36f,917 days,20.0,12103.15,2,5,5,25,cant_loose
18768,114a5912-136c-11ea-a001-000d3a38a36f,721 days,5.0,764.94,3,4,4,34,loyal_customers
